id,Year,Cantril ladder score
71,2019,4.2886
71,2018,3.9728
71,2015,3.956
71,2014,3.956
71,2011,3.700023
31,2022,6.6085
31,2021,6.582
31,2020,7.0694
31,2019,7.1214
31,2018,7.1674
31,2017,7.0717
31,2016,7.079
31,2015,7.087
31,2014,7.226
31,2011,7.251115
55,2022,6.125
55,2021,6.1252
55,2020,5.8817
55,2019,5.5047
55,2018,5.4318
55,2017,5.3212
55,2016,5.293
55,2015,5.488
55,2014,5.759
55,2011,5.622628
32,2011,5.417868
33,2022,6.13
33,2021,6.2209
33,2020,6.2235
33,2019,6.159
33,2018,6.0458
33,2017,5.7625
33,2016,5.621
33,2015,5.546
33,2014,5.689
33,2011,6.416459
36,2022,7.5864
36,2021,7.6362
36,2020,7.6195
36,2019,7.6456
36,2018,7.6001
36,2017,7.5553
36,2016,7.522
36,2015,7.526
36,2014,7.527
36,2011,7.85574
35,2014,4.369
35,2011,4.956731
37,2022,5.5689
37,2021,5.7372
37,2020,5.5451
37,2019,5.6892
37,2018,5.4253
37,2017,5.3018
37,2016,5.23
37,2015,5.155
37,2014,4.885
37,2011,5.036006
39,2022,5.5589
39,2021,5.5333
39,2020,5.764
39,2019,5.9252
39,2018,6.0276
39,2017,5.9732
39,2016,6.008
39,2015,5.976
39,2014,5.975
39,2011,5.424841
41,2022,4.1705
41,2021,4.2877
41,2020,4.2827
41,2019,4.1514
41,2018,4.1655
41,2017,4.4192
41,2016,4.735
41,2015,4.362
41,2014,4.194
41,2011,4.8534
132,2022,6.1216
132,2021,6.12
132,2020,6.0605
132,2019,6.3483
132,2018,6.2531
132,2017,6.1668
132,2016,6.003
132,2015,6.068
132,2014,6.13
132,2011,5.955841
40,2022,6.4552
40,2021,6.3408
40,2020,6.1888
40,2019,6.0218
40,2018,5.8935
40,2017,5.7392
40,2016,5.611
40,2015,5.517
40,2014,5.429
40,2011,5.329978
134,2021,4.3961
134,2020,4.3081
134,2019,4.3081
134,2018,4.2116
134,2014,4.867
43,2022,4.0906
43,2021,4.2415
43,2020,4.2747
43,2019,4.1862
43,2018,4.2858
43,2017,4.3502
43,2016,4.46
43,2015,4.508
43,2014,4.512
43,2011,4.064207
44,2022,7.8042
44,2021,7.821
44,2020,7.8421
44,2019,7.8087
44,2018,7.7689
44,2017,7.6321
44,2016,7.469
44,2015,7.413
44,2014,7.406
44,2011,7.579009
45,2022,6.6613
45,2021,6.6867
45,2020,6.6899
45,2019,6.6638
45,2018,6.5921
45,2017,6.4893
45,2016,6.442
45,2015,6.478
45,2014,6.575
45,2011,6.746459
46,2022,5.0347
46,2021,4.9583
46,2020,4.8518
46,2019,4.8293
46,2018,4.7992
46,2017,4.7583
46,2016,4.465
46,2015,4.121
46,2014,3.896
48,2022,5.1091
48,2021,4.9732
48,2020,4.8914
48,2019,4.6726
48,2018,4.5191
48,2017,4.3405
48,2016,4.286
48,2015,4.252
48,2014,4.297
48,2011,3.892324
34,2022,6.8918
34,2021,7.0341
34,2020,7.1545
34,2019,7.0758
34,2018,6.985
34,2017,6.9647
34,2016,6.951
34,2015,6.994
34,2014,6.75
34,2011,6.572111
49,2022,4.605
49,2021,4.872
49,2020,5.0884
49,2019,5.148
49,2018,4.9963
49,2017,4.657
49,2016,4.12
49,2015,4.276
49,2014,4.633
49,2011,4.704951
51,2022,5.9309
51,2021,5.9482
51,2020,5.7226
51,2019,5.515
51,2018,5.2867
51,2017,5.3579
51,2016,5.227
51,2015,5.033
51,2014,4.857
51,2011,6.132965
52,2022,6.1503
52,2021,6.2622
52,2020,6.4345
52,2019,6.3989
52,2018,6.4362
52,2017,6.3819
52,2016,6.454
52,2015,6.324
52,2014,6.123
52,2011,6.276682
50,2022,5.0717
50,2021,4.8905
50,2020,4.9843
50,2019,4.9493
50,2018,4.5344
50,2017,3.9641
50,2016,3.507
50,2015,3.607
50,2014,3.656
50,2011,4.170938
53,2011,5.992826
56,2020,3.6149
56,2019,3.7208
56,2018,3.5969
56,2017,3.582
56,2016,3.603
56,2015,4.028
56,2014,4.518
56,2011,3.788652
54,2022,6.0225
54,2021,6.0221
54,2020,5.9192
54,2019,5.9532
54,2018,5.8604
54,2017,5.504
54,2016,5.181
54,2015,4.871
54,2014,4.788
54,2011,5.564011
57,2022,6.0412
57,2021,6.0859
57,2020,5.9916
57,2019,6.0004
57,2018,5.7583
57,2017,5.62
57,2016,5.324
57,2015,5.145
57,2014,4.08
57,2011,4.942787
63,2022,7.5296
63,2021,7.5575
63,2020,7.5539
63,2019,7.5045
63,2018,7.4936
63,2017,7.4952
63,2016,7.504
63,2015,7.501
63,2014,7.561
63,2011,6.888284
60,2022,4.0358
60,2021,3.7771
60,2020,3.8189
60,2019,3.5733
60,2018,4.0152
60,2017,4.1898
60,2016,4.315
60,2015,4.404
60,2014,4.565
60,2011,4.974501
58,2022,5.2769
58,2021,5.2396
58,2020,5.3445
58,2019,5.2856
58,2018,5.1924
58,2017,5.0926
58,2016,5.262
58,2015,5.314
58,2014,5.399
58,2011,5.158751
62,2022,4.8763
62,2021,4.8879
62,2020,4.7212
62,2019,4.6724
62,2018,4.548
62,2017,4.7066
62,2016,4.692
62,2015,4.813
62,2014,4.686
62,2011,5.149403
61,2022,4.9409
61,2021,4.9409
61,2020,4.8541
61,2019,4.7848
61,2018,4.4372
61,2017,4.4556
61,2016,4.497
61,2015,4.575
61,2014,4.677
61,2011,4.881612
59,2022,7.4729
59,2021,7.3638
59,2020,7.1571
59,2019,7.1286
59,2018,7.1387
59,2017,7.19
59,2016,7.213
59,2015,7.267
59,2014,7.278
59,2011,7.198713
64,2022,6.4045
64,2021,6.4667
64,2020,6.4831
64,2019,6.3874
64,2018,6.2234
64,2017,6.0004
64,2016,5.964
64,2015,5.977
64,2014,5.948
64,2011,6.578179
65,2022,5.7027
65,2021,5.8496
65,2020,6.3092
65,2019,5.8898
65,2018,5.8898
65,2017,5.8898
65,2016,5.311
65,2015,5.51
65,2014,5.709
65,2011,6.207882
67,2022,6.129
67,2021,6.0389
67,2020,5.9405
67,2019,5.8708
67,2018,5.8861
67,2017,5.915
67,2016,5.92
67,2015,5.921
67,2014,5.987
67,2011,6.059098
66,2022,4.1198
66,2021,4.1521
66,2020,4.3946
66,2019,4.6334
66,2018,4.9057
66,2017,5.1607
66,2016,5.336
66,2015,5.303
66,2014,5.192
66,2011,5.706185
74,2022,6.1439
74,2021,6.2341
74,2020,6.1518
74,2019,6.0579
74,2018,5.8088
74,2017,5.7901
74,2016,5.819
74,2015,5.919
74,2014,5.855
74,2011,5.594488
68,2022,4.4866
68,2021,4.543
68,2020,4.6066
