id,Armed Forces size,CPI,Gasoline Price,GDP,Minimum wage,Out of pocket health expenditure,Tax revenue (),Total tax rate,Unemployment rate
65,180000.00,112.85,1.39,3845630030824.00,9.99,12.50,11.50,48.80,44989.00
66,16000.00,268.36,0.92,66983634224.00,0.27,13424.00,12.60,55.40,4.33
67,146000.00,101.87,1.54,209852761469.00,4.46,35.50,26.20,51.90,17.24
68,2000.00,107.43,44938.00,1228170370.00,null,57.00,19.40,47.80,null
69,43000.00,142.92,0.79,76710385880.00,1.60,55.80,10.60,35.20,2.46
70,13000.00,262.95,0.90,13590281809.00,null,54.50,10.80,69.30,45046.00
71,4000.00,111.65,null,1340389411.00,0.16,37.20,45229.00,45.50,2.47
72,3000.00,116.19,0.90,4280443645.00,0.98,40.50,null,30.60,11.85
73,0.00,179.29,0.81,8498981821.00,0.25,36.30,null,42.70,13.78
74,2000.00,null,null,null,null,null,null,null,null
75,23000.00,150.34,0.98,25095395475.00,44927.00,18172.00,17.30,14519.00,5.39
76,40000.00,121.64,44944.00,160967157504.00,2.62,29.00,23.00,37.90,3.40
77,0.00,129.00,1.69,24188035739.00,null,17.00,23.30,31.90,2.84
78,3031000.00,180.44,0.97,2611000000000.00,0.30,24016.00,45250.00,49.70,5.36
79,676000.00,151.18,0.63,1119190780753.00,0.48,48.30,45219.00,45229.00,4.69
80,563000.00,550.93,0.40,445345282123.00,1.58,39.70,7.40,44.70,11.38
81,209000.00,119.86,0.61,234094042939.00,44950.00,76.50,2.00,30.80,12.82
82,9000.00,106.58,1.37,388698711348.00,10.79,15.20,18.30,45225.00,4.93
83,178000.00,108.15,1.57,395098666122.00,7.58,24.40,45222.00,25.30,3.86
84,347000.00,110.62,1.61,2001244392042.00,null,22.80,24.30,21824.00,9.89
85,4000.00,162.47,44937.00,16458071068.00,1.33,23.70,26.80,13058.00,8.00
86,261000.00,105.48,44932.00,5081769542380.00,6.77,45212.00,11.90,46.70,2.29
87,116000.00,125.6,44936.00,43743661972.00,1.49,45224.00,45214.00,28.60,14.72
88,71000.00,182.75,0.42,180161741180.00,0.41,38.80,11.70,28.40,4.59
89,29000.00,180.51,0.95,95503088538.00,0.25,33.40,45214.00,37.20,2.64
90,2000.00,99.55,null,194647202.00,null,0.20,22.00,32.70,null
91,25000.00,126.6,0.35,134761198946.00,0.95,14.40,1.40,13.00,44975.00
92,21000.00,155.68,0.56,8454619608.00,0.09,48.20,18.00,29.00,6.33
93,129000.00,135.87,0.93,18173839128.00,0.83,45.40,12.90,45223.00,0.63
94,6000.00,116.86,44942.00,34117202555.00,2.80,41.60,22.90,14154.00,6.52
95,80000.00,130.02,0.74,53367042272.00,44972.00,11963.00,15.30,32.20,45100.00
96,2000.00,155.86,0.70,2460072444.00,0.41,16.90,31.60,13.60,23.41
97,2000.00,223.13,0.80,3070518100.00,0.17,19.60,12.90,46.20,2.81
98,0.00,125.71,0.11,52076250948.00,1.88,36.70,null,32.60,18.56
99,2000.00,null,1.74,6552858739.00,null,null,null,21.60,null
100,34000.00,118.38,44942.00,54219315600.00,2.41,11963.00,16.90,42.60,6.35
101,2000.00,115.09,44945.00,71104919108.00,45059.00,10.60,26.50,20.40,5.36
102,22000.00,184.33,44937.00,14083906357.00,0.21,21.70,45219.00,38.30,1.76
103,15000.00,418.34,44941.00,7666704427.00,0.12,11.00,17.30,34.50,5.65
104,136000.00,121.46,0.45,364701517788.00,0.93,36.70,12.00,38.70,3.32
105,5000.00,36342.00,1.63,5729248472.00,null,16.40,19.50,30.20,45091.00
106,18000.00,108.73,44938.00,17510141171.00,0.23,46.30,11.60,54.50,45129.00
107,2000.00,113.45,1.36,14786156563.00,45053.00,13789.00,26.20,44.00,3.47
108,2000.00,null,1.44,221278000.00,2.00,10.00,17.80,65.90,null
109,21000.00,135.02,44939.00,7593752450.00,0.53,48.20,null,67.00,9.55
110,3000.00,129.91,44938.00,14180444557.00,0.38,50.70,45218.00,22.20,6.67
111,336000.00,141.54,0.73,1258286717125.00,0.49,41.40,45212.00,20363.00,3.42
112,2000.00,112.1,null,401932279.00,null,2.50,25.20,60.50,null
113,7000.00,166.2,0.80,11955435457.00,0.31,46.20,17.70,38.70,5.47
114,2000.00,null,2.00,7184844193.00,11.72,45087.00,null,null,null
115,18000.00,195.76,0.72,13852850259.00,0.65,39.30,16.80,25.70,45078.00
116,12000.00,116.32,44942.00,5494736901.00,44949.00,31.80,null,22.20,14.88
117,246000.00,111.07,0.99,118725279596.00,1.60,19633.00,21.90,45.80,45171.00
118,11000.00,182.31,0.65,14934159926.00,0.27,6.80,0.00,13424.00,45009.00
119,513000.00,168.18,0.54,76085852617.00,0.39,73.90,5.40,31.20,1.58
120,16000.00,157.97,0.76,12366527719.00,null,45168.00,45226.00,20.70,20.27
121,2000.00,null,null,133000000.00,null,null,null,null,null
122,112000.00,188.73,0.91,30641380604.00,0.36,60.40,20.70,41.80,1.41
123,41000.00,115.91,1.68,909070395161.00,45228.00,45290.00,23.00,41.20,45005.00
124,9000.00,114.24,1.40,206928765544.00,11.49,12.60,29.00,34.60,45023.00
125,12000.00,162.74,0.91,12520915291.00,0.54,36.00,15.60,60.60,6.84
126,10000.00,109.32,0.88,12928145120.00,0.29,52.30,11.80,47.20,0.47
127,215000.00,267.51,0.46,448120428859.00,0.54,72.20,1.50,34.80,45148.00
128,1469000.00,null,0.58,32100000000.00,null,null,null,null,2.74
129,2000.00,null,null,10220781069.00,null,35.60,null,null,null
130,23000.00,120.27,1.78,403336363636.00,null,14.30,23.90,36.20,3.35
131,47000.00,113.53,0.45,76983094928.00,4.33,6.40,2.50,27.40,2.67
132,936000.00,182.32,0.79,304400000000.00,0.69,66.50,45189.00,33.90,4.45
133,2000.00,118.17,null,283994900.00,3.00,21.80,21.30,76.60,null
134,2000.00,null,null,null,null,null,null,null,null
135,26000.00,122.07,0.74,66800800000.00,1.53,30.50,null,37.20,3.90
136,4000.00,155.99,1.36,24969611435.00,44942.00,5.80,13.60,13789.00,2.46
137,27000.00,143.82,44930.00,38145288940.00,1.55,36.50,10.00,35.00,4.81
138,158000.00,129.78,0.99,226848050820.00,44954.00,30.90,14.30,36.80,45016.00
139,153000.00,129.61,0.86,376795508680.00,44938.00,53.50,14.00,15980.00,44972.00
140,191000.00,114.11,44933.00,592164400688.00,2.93,23.20,17.40,40.80,3.47
141,52000.00,110.62,1.54,237686075635.00,3.78,27.70,22.80,39.80,6.33
142,22000.00,115.38,0.40,183466208791.00,null,45097.00,14.70,45260.00,0.09
143,126000.00,123.78,44942.00,250077444017.00,44982.00,21.30,14.60,20.00,3.98
144,1454000.00,180.75,0.59,1699876578871.00,0.53,36.40,11.40,46.20,4.59
145,35000.00,151.09,44943.00,10122472590.00,null,26.00,14.30,33.20,44929.00
146,2000.00,104.57,null,1050992593.00,3.33,56.60,18.50,49.70,null
147,2000.00,110.13,44956.00,2122450630.00,null,48.40,18.20,34.70,20.71
148,2000.00,109.67,null,825385185.00,44942.00,21.40,25.40,37.00,18.88
149,2000.00,117.56,0.91,850655017.00,0.78,11.50,25.50,19.30,8.36
150,2000.00,110.63,null,1637931034.00,null,18.30,45217.00,36.20,null
151,1000.00,185.09,null,429016605.00,null,11.70,14.60,37.00,13.37
152,252000.00,118.4,0.24,792966838162.00,3.85,15.00,8.90,15.70,5.93
153,19000.00,109.25,44940.00,23578084052.00,0.31,44.20,16.30,44.80,6.60
154,32000.00,144.00,44942.00,51409167351.00,1.57,40.60,18.60,36.60,12.69
155,0.00,129.96,null,1698843063.00,2.00,2.50,12693.00,45229.00,null
156,9000.00,234.16,44934.00,3941474311.00,0.57,38.20,8.60,30.70,4.43
157,81000.00,114.41,44951.00,372062527489.00,null,36.70,45212.00,21.00,45027.00
158,16000.00,115.34,1.32,105422304976.00,44996.00,18.40,18.70,49.70,5.56
159,7000.00,111.05,1.32,53742159517.00,45071.00,12.50,18.60,31.00,45036.00
160,2000.00,133.06,null,1425074226.00,0.40,45015.00,29.50,32.00,0.58
161,20000.00,null,1.41,4720727278.00,null,null,0.00,null,11.35
162,80000.00,158.93,0.92,351431649241.00,null,7.70,27.50,29.20,28.18
163,634000.00,115.16,44948.00,2029000000000.00,6.49,36.80,15.60,33.20,45031.00
164,185000.00,4583.71,0.28,11997800751.00,null,61.30,null,31.40,45284.00
165,196000.00,110.96,44952.00,1394116310769.00,5.60,24.20,14.20,47.00,13.96
166,317000.00,155.53,0.88,84008783756.00,0.35,38.40,11.90,55.20,45036.00
167,124000.00,1344.19,0.95,18902284476.00,0.41,63.20,8.00,45.40,16.53
168,2000.00,294.66,44955.00,3985250737.00,null,45209.00,19.50,27.90,7.33
169,30000.00,110.51,1.42,530832908738.00,null,15.20,27.90,18172.00,6.48
170,21000.00,99.55,1.45,703082435360.00,null,28.30,45209.00,28.80,4.58
171,239000.00,143.2,0.83,40405006007.00,44928.00,53.70,14.20,42.70,8.37
172,17000.00,148.57,0.71,8116626794.00,0.23,23285.00,9.80,67.30,45232.00
173,28000.00,187.43,0.87,63177068175.00,0.09,45225.00,11.50,43.80,1.98
174,455000.00,113.27,0.71,543649976166.00,44932.00,11.80,14.90,29.50,0.75
175,2000.00,145.38,44936.00,1673540300.00,0.60,45219.00,25.00,17.30,4.55
176,10000.00,113.3,0.71,5459979417.00,0.34,51.00,16.90,48.20,44961.00
177,2000.00,121.09,null,450353314.00,null,45219.00,22.30,27.50,44938.00
178,4000.00,141.75,0.54,24100202834.00,44982.00,37.30,19.50,40.50,2.69
179,48000.00,155.33,0.73,38797709924.00,0.47,39.80,45220.00,60.70,44973.00
180,512000.00,234.44,1.42,754411708203.00,3.45,16.90,17.90,42.30,13.49
181,42000.00,null,0.29,40761142857.00,0.88,26207.00,null,null,3.91
182,2000.00,null,null,47271463.00,null,0.70,null,null,null
183,46000.00,173.87,0.94,34387229486.00,0.01,40.50,11.70,33.70,1.84
184,297000.00,281.66,0.83,153781069118.00,0.84,47.80,45219.00,45.20,8.88
185,63000.00,114.52,0.49,421142267938.00,null,17.80,0.10,15.90,2.35
186,148000.00,119.62,1.46,2827113184696.00,45212.00,14.80,25.50,30.60,3.85
187,1359000.00,117.24,0.71,21427700000000.00,45132.00,45240.00,9.60,36.60,14.70
188,22000.00,202.92,1.50,56045912952.00,1.66,16.20,45219.00,41.80,8.73
189,68000.00,null,44929.00,57921286440.00,0.24,42.70,14.80,31.60,5.92
190,2000.00,117.13,44957.00,917058851.00,1.56,8.90,17.80,8.50,4.39
191,343000.00,2740.27,0.00,482359318768.00,0.01,45.80,null,73.30,8.80
192,522000.00,163.52,0.80,261921244843.00,0.73,43.50,45218.00,37.60,44958.00
193,40000.00,157.58,0.92,26914402224.00,null,81.00,null,26.60,12.91
194,16000.00,212.31,1.40,23064722446.00,0.24,27.50,16.20,15.60,11.43
195,51000.00,105.51,1.34,21440758800.00,null,25.80,20.70,31.60,4.95
